file,class,method,variable,usage
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\StructuralPatterns\Decorator\CarDecorator.java,StructuralPatterns.Decorator.CarDecorator,drive/0,decoratedCar,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\StructuralPatterns\Decorator\CarDecorator.java,StructuralPatterns.Decorator.CarDecorator,CarDecorator/1[StructuralPatterns.Decorator.ICar],decoratedCar,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\StructuralPatterns\Proxy\ProxyPerformAction.java,StructuralPatterns.Proxy.ProxyPerformAction,performAction/1[java.lang.String],isAdmin,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\StructuralPatterns\Proxy\ProxyPerformAction.java,StructuralPatterns.Proxy.ProxyPerformAction,performAction/1[java.lang.String],perfomActionUtil,2
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\StructuralPatterns\Proxy\ProxyPerformAction.java,StructuralPatterns.Proxy.ProxyPerformAction,ProxyPerformAction/1[boolean],isAdmin,3
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\StructuralPatterns\Proxy\ProxyPerformAction.java,StructuralPatterns.Proxy.ProxyPerformAction,ProxyPerformAction/1[boolean],perfomActionUtil,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Factory\Circle.java,CreationalPatterns.Factory.Circle,Circle/1[double],radius,3
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Factory\Circle.java,CreationalPatterns.Factory.Circle,area/0,radius,2
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Prototype\UnitPrototypesCache.java,CreationalPatterns.Prototype.UnitPrototypesCache,setCache/0,unitCache,3
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Prototype\UnitPrototypesCache.java,CreationalPatterns.Prototype.UnitPrototypesCache,getUnit/1[java.lang.String],unitCache,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Iterator\FanRequestsCollection.java,BehavioralPatterns.Iterator.FanRequestsCollection,at/1[int],requests,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Iterator\FanRequestsCollection.java,BehavioralPatterns.Iterator.FanRequestsCollection,FanRequestsCollection/0,requestsCount,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Iterator\FanRequestsCollection.java,BehavioralPatterns.Iterator.FanRequestsCollection,FanRequestsCollection/0,requests,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Iterator\FanRequestsCollection.java,BehavioralPatterns.Iterator.FanRequestsCollection,getLength/0,requestsCount,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Iterator\FanRequestsCollection.java,BehavioralPatterns.Iterator.FanRequestsCollection,addRequest/1[BehavioralPatterns.Iterator.FanRequest],requestsCount,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Iterator\FanRequestsCollection.java,BehavioralPatterns.Iterator.FanRequestsCollection,addRequest/1[BehavioralPatterns.Iterator.FanRequest],requests,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\State\TeamTactics.java,BehavioralPatterns.State.TeamTactics,attack/0,state,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\State\TeamTactics.java,BehavioralPatterns.State.TeamTactics,TeamTactics/0,state,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\State\TeamTactics.java,BehavioralPatterns.State.TeamTactics,defend/0,state,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\State\TeamTactics.java,BehavioralPatterns.State.TeamTactics,setState/1[BehavioralPatterns.State.ITacticalState],state,3
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\State\TeamTactics.java,BehavioralPatterns.State.TeamTactics,toString/0,state,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Prototype\Unit.java,CreationalPatterns.Prototype.Unit,setRange/1[int],range,3
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Prototype\Unit.java,CreationalPatterns.Prototype.Unit,getType/0,type,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Prototype\Unit.java,CreationalPatterns.Prototype.Unit,setType/1[java.lang.String],type,3
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Prototype\Unit.java,CreationalPatterns.Prototype.Unit,getRange/0,range,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Prototype\Unit.java,CreationalPatterns.Prototype.Unit,getPower/0,power,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Prototype\Unit.java,CreationalPatterns.Prototype.Unit,setPower/1[int],power,3
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\AbstractFactory\Meal.java,CreationalPatterns.AbstractFactory.Meal,Meal/1[CreationalPatterns.AbstractFactory.MealFactory],side,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\AbstractFactory\Meal.java,CreationalPatterns.AbstractFactory.Meal,Meal/1[CreationalPatterns.AbstractFactory.MealFactory],main,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\AbstractFactory\Meal.java,CreationalPatterns.AbstractFactory.Meal,printMeal/0,side,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\AbstractFactory\Meal.java,CreationalPatterns.AbstractFactory.Meal,printMeal/0,main,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Builder\BurgerMeal.java,CreationalPatterns.Builder.BurgerMeal,getTotalCost/0,ingredients,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Builder\BurgerMeal.java,CreationalPatterns.Builder.BurgerMeal,showMeal/0,ingredients,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Builder\BurgerMeal.java,CreationalPatterns.Builder.BurgerMeal,addItem/1[CreationalPatterns.Builder.Item],ingredients,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\StructuralPatterns\Composite\FileItem.java,StructuralPatterns.Composite.FileItem,getName/0,name,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\StructuralPatterns\Composite\FileItem.java,StructuralPatterns.Composite.FileItem,FileItem/1[java.lang.String],name,3
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\StructuralPatterns\Composite\FileItem.java,StructuralPatterns.Composite.FileItem,printContainingFiles/1[int],name,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Factory\Rectangle.java,CreationalPatterns.Factory.Rectangle,area/0,width,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Factory\Rectangle.java,CreationalPatterns.Factory.Rectangle,area/0,height,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Factory\Rectangle.java,CreationalPatterns.Factory.Rectangle,"Rectangle/2[double,double]",width,3
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\CreationalPatterns\Factory\Rectangle.java,CreationalPatterns.Factory.Rectangle,"Rectangle/2[double,double]",height,3
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\User.java,BehavioralPatterns.Command.User,undo/1[int],commandsManager,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\User.java,BehavioralPatterns.Command.User,redo/1[int],commandsManager,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\User.java,BehavioralPatterns.Command.User,printCalculatorValue/0,calculator,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\User.java,BehavioralPatterns.Command.User,"compute/2[char,double]",calculator,4
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\User.java,BehavioralPatterns.Command.User,"compute/2[char,double]",commandsManager,4
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\User.java,BehavioralPatterns.Command.User,User/0,calculator,1
C:\PROJECTS\DesignPatternsJavamain\DesignPatternsJava-main\BehavioralPatterns\Command\User.java,BehavioralPatterns.Command.User,User/0,commandsManager,1
